Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,2002,7.671944
Africa,,2003,7.105203
Africa,,2004,6.980063
Africa,,2005,7.0285006
Africa,,2006,7.1611776
Africa,,2007,7.0572457
Africa,,2008,6.761787
Africa,,2009,6.810709
Africa,,2010,7.1290402
Africa,,2011,7.2594023
Africa,,2012,6.9972486
Africa,,2013,7.189637
Africa,,2014,7.5156765
Africa,,2015,7.527505
Africa,,2016,7.404274
Africa,,2017,7.6419463
Africa,,2018,8.005552
Africa,,2019,8.356321
Africa,,2020,9.415897
Africa,,2021,9.152215
Africa,,2022,9.298186
Africa,,2023,9.826173
Africa (EI),,2002,7.671944
Africa (EI),,2003,7.105202
Africa (EI),,2004,6.980063
Africa (EI),,2005,7.0285006
Africa (EI),,2006,7.161177
Africa (EI),,2007,7.0572457
Africa (EI),,2008,6.761787
Africa (EI),,2009,6.8107085
Africa (EI),,2010,7.12904
Africa (EI),,2011,7.2594023
Africa (EI),,2012,6.9972486
Africa (EI),,2013,7.189637
Africa (EI),,2014,7.5156765
Africa (EI),,2015,7.527505
Africa (EI),,2016,7.404273
Africa (EI),,2017,7.6419473
Africa (EI),,2018,8.005553
Africa (EI),,2019,8.356321
Africa (EI),,2020,9.415897
Africa (EI),,2021,9.152214
Africa (EI),,2022,9.298185
Africa (EI),,2023,9.826172
Algeria,DZA,2002,0.05167676
Algeria,DZA,2003,0.228104
Algeria,DZA,2004,0.2067869
Algeria,DZA,2005,0.43411884
Algeria,DZA,2006,0.16327195
Algeria,DZA,2007,0.15990457
Algeria,DZA,2008,0.1877543
Algeria,DZA,2009,0.21278548
Algeria,DZA,2010,0.11513415
Algeria,DZA,2011,0.23525994
Algeria,DZA,2012,0.22453195
Algeria,DZA,2013,0.06476319
Algeria,DZA,2014,0.11750259
Algeria,DZA,2015,0.09681336
Algeria,DZA,2016,0.14580713
Algeria,DZA,2017,0.24701828
Algeria,DZA,2018,0.28842947
Algeria,DZA,2019,0.29497427
Algeria,DZA,2020,0.30043116
Algeria,DZA,2021,0.25285673
Algeria,DZA,2022,0.24182516
Algeria,DZA,2023,0.27036947
Argentina,ARG,2002,16.247978
Argentina,ARG,2003,14.40661
Argentina,ARG,2004,12.185576
Argentina,ARG,2005,12.790038
Argentina,ARG,2006,13.449896
Argentina,ARG,2007,10.613073
Argentina,ARG,2008,10.447249
Argentina,ARG,2009,11.797741
Argentina,ARG,2010,11.650168
Argentina,ARG,2011,10.914268
Argentina,ARG,2012,10.176803
Argentina,ARG,2013,10.940409
Argentina,ARG,2014,11.038969
Argentina,ARG,2015,10.89336
Argentina,ARG,2016,10.17179
Argentina,ARG,2017,10.979133
Argentina,ARG,2018,11.331651
Argentina,ARG,2019,11.911147
Argentina,ARG,2020,12.310073
Argentina,ARG,2021,11.335143
Argentina,ARG,2022,12.188763
Argentina,ARG,2023,14.102216
Asia,,2002,4.9854317
Asia,,2003,4.7931614
Asia,,2004,5.0985446
Asia,,2005,4.9199796
Asia,,2006,5.117429
Asia,,2007,5.0853057
Asia,,2008,5.605236
Asia,,2009,5.458485
Asia,,2010,5.9468226
Asia,,2011,5.8778787
Asia,,2012,6.4778247
Asia,,2013,6.987413
Asia,,2014,7.551866
Asia,,2015,7.908183
Asia,,2016,8.438702
Asia,,2017,8.845372
Asia,,2018,9.349624
Asia,,2019,10.002659
Asia,,2020,10.741154
Asia,,2021,11.2254095
Asia,,2022,11.969987
Asia,,2023,12.191386
Asia Pacific (EI),,2002,5.444792
Asia Pacific (EI),,2003,5.1578827
Asia Pacific (EI),,2004,5.4758544
Asia Pacific (EI),,2005,5.311402
Asia Pacific (EI),,2006,5.527023
Asia Pacific (EI),,2007,5.5560207
Asia Pacific (EI),,2008,6.319537
Asia Pacific (EI),,2009,6.151837
Asia Pacific (EI),,2010,6.621047
Asia Pacific (EI),,2011,6.5951953
Asia Pacific (EI),,2012,7.2704225
Asia Pacific (EI),,2013,7.8684993
Asia Pacific (EI),,2014,8.64824
Asia Pacific (EI),,2015,8.979429
Asia Pacific (EI),,2016,9.625652
Asia Pacific (EI),,2017,10.076119
Asia Pacific (EI),,2018,10.659423
Asia Pacific (EI),,2019,11.170016
Asia Pacific (EI),,2020,12.109914
Asia Pacific (EI),,2021,12.769394
Asia Pacific (EI),,2022,13.636534
Asia Pacific (EI),,2023,13.810033
Australia,AUS,2002,3.9314501
Australia,AUS,2003,4.0149684
Australia,AUS,2004,4.03656
Australia,AUS,2005,4.313553
Australia,AUS,2006,4.233413
Australia,AUS,2007,3.9767237
Australia,AUS,2008,3.681326
Australia,AUS,2009,3.9202657
Australia,AUS,2010,4.312805
Australia,AUS,2011,5.688442
Australia,AUS,2012,5.688193
Australia,AUS,2013,6.5121694
Australia,AUS,2014,5.9665823
Australia,AUS,2015,6.2833033
Australia,AUS,2016,7.1866975
Australia,AUS,2017,6.744328
Australia,AUS,2018,8.280843
Australia,AUS,2019,8.875714
Australia,AUS,2020,10.848229
Australia,AUS,2021,12.923943
Australia,AUS,2022,13.918374
Australia,AUS,2023,14.982515
Austria,AUT,2002,30.20616
Austria,AUT,2003,25.237972
Austria,AUT,2004,27.274899
Austria,AUT,2005,27.495369
Austria,AUT,2006,28.128284
Austria,AUT,2007,30.249714
Austria,AUT,2008,30.77213
Austria,AUT,2009,33.781616
Austria,AUT,2010,31.314478
Austria,AUT,2011,30.305704
Austria,AUT,2012,35.76177
Austria,AUT,2013,35.3089
Austria,AUT,2014,36.303062
Austria,AUT,2015,34.274372
Austria,AUT,2016,35.3048
Austria,AUT,2017,34.455837
Austria,AUT,2018,34.361984
Austria,AUT,2019,35.472965
Austria,AUT,2020,38.188835
Austria,AUT,2021,35.835052
Austria,AUT,2022,36.06654
Austria,AUT,2023,40.080193
Azerbaijan,AZE,2002,4.6939816
Azerbaijan,AZE,2003,5.2657747
Azerbaijan,AZE,2004,5.1585817
Azerbaijan,AZE,2005,5.165004
Azerbaijan,AZE,2006,4.3662996
Azerbaijan,AZE,2007,4.4247346
Azerbaijan,AZE,2008,4.149183
Azerbaijan,AZE,2009,4.9570913
Azerbaijan,AZE,2010,7.448546
Azerbaijan,AZE,2011,5.0649414
Azerbaijan,AZE,2012,3.326695
Azerbaijan,AZE,2013,2.7732372
Azerbaijan,AZE,2014,2.4248233
Azerbaijan,AZE,2015,2.7496912
Azerbaijan,AZE,2016,3.3369164
Azerbaijan,AZE,2017,3.0411427
Azerbaijan,AZE,2018,2.985358
Azerbaijan,AZE,2019,2.599264
Azerbaijan,AZE,2020,1.8952277
Azerbaijan,AZE,2021,2.0421484
Azerbaijan,AZE,2022,2.3129582
Azerbaijan,AZE,2023,2.3216856
